,freq
Norig,0.001266891891891892
Grønland,0.0008348072161301733
øyane,0.0004937226689236846
Vancouver,0.0004597278411180581
Sturla,0.000440991892533668
kristendomen,0.00044026415849509704
kristna,0.00041250343752864606
Shetland,0.00039171409479481093
Noreg,0.0003598642220160079
Mayen,0.00035870864886408926
Hårfagre,0.00030933150025777627
busette,0.0002862907623514015
Vinland,0.00027666343892654584
Holy,0.000271696941468716
Ellis,0.00026493575307987813
Reykjavik,0.00022387821025362202
Long,0.00021647487752079298
islandsk,0.0002128889024056446
skrivne,0.00019473722645505222
ufred,0.00018489658997860483
Nord-Noreg,0.0001817108072502612
utvandra,0.0001751804358489244
oml,0.00017497812773403323
NW,0.00017175048090134652
vitja,0.00017158544955387783
Fraa,0.0001712108890125412
sommaren,0.00016767738870413325
kjelda,0.00016550126194712236
Færøyene,0.0001633681852128454
bisp,0.0001591596371160274
skald,0.0001554629687208507
vulkansk,0.00015312763188117295
Fair,0.00015169902912621358
oppdaga,0.0001510962029524198
sjølvstendig,0.00014894884671035833
senda,0.00014879845249609404
hendingar,0.00014189764449910132
stormenn,0.00013885031935573453
Kjartan,0.00013783597518952445
uaar,0.0001343634531407457
sørsida,0.00013425071320691392
sumaren,0.00013308136594714009
bygt,0.0001315504379855759
25.000,0.0001295001295001295
Nordmennene,0.00012789904502046384
Heime,0.00012698412698412698
985,0.00012421125850847121
Isl,0.00012042389210019268
Håkonsson,0.00011994242763473533
båtane,0.00011821728336682824
